capability,admin,writer,reviewer,release_coordinator
workflow_administration,OWN,PROHIBITED,PROHIBITED,PROHIBITED
workflow_orchestration,OWN,PROHIBITED,PROHIBITED,PROHIBITED
governance_rules,OWN,PROHIBITED,PROHIBITED,PROHIBITED
article_intake,PROHIBITED,OWN,PROHIBITED,PROHIBITED
article_drafting,PROHIBITED,OWN,PROHIBITED,PROHIBITED
editorial_verification,PROHIBITED,OWN,PROHIBITED,PROHIBITED
article_archive,PROHIBITED,OWN,PROHIBITED,PROHIBITED
destination_draft_preparation,PROHIBITED,OWN,PROHIBITED,PROHIBITED
review_assignment,OWN,PROHIBITED,PROHIBITED,PROHIBITED
independent_critique,PROHIBITED,PROHIBITED,OWN,PROHIBITED
review_findings_return,PROHIBITED,PROHIBITED,OWN,PROHIBITED
review_presentation,PROHIBITED,PROHIBITED,OWN,PROHIBITED
human_listen_through,PROHIBITED,PROHIBITED,OWN,PROHIBITED
critique_disposition,PROHIBITED,OWN,PROHIBITED,PROHIBITED
release_planning,PROHIBITED,PROHIBITED,PROHIBITED,OWN
release_recommendation,PROHIBITED,PROHIBITED,PROHIBITED,OWN
release_gate_diagnosis,PROHIBITED,PROHIBITED,OWN,PROHIBITED
medium_native_scheduling,PROHIBITED,PROHIBITED,PROHIBITED,OWN
medium_publication_creation,PROHIBITED,PROHIBITED,PROHIBITED,OWN
immediate_publication_or_submission,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED
